Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Volume_Change,Price_Range,Intraday_Return,RSI_14,MACD,MACD_Signal,MACD_Diff,Stoch_K,Stoch_D,ROC_10,Williams_R,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,ADX,ADX_Pos,ADX_Neg,Ichimoku_A,Ichimoku_B,BB_High,BB_Low,BB_Mid,BB_Width,BB_Pct,ATR_14,Keltner_High,Keltner_Low,Keltner_Mid,HV_20,HV_50,OBV,Volume_SMA_10,Volume_SMA_20,Volume_ROC,MFI,CMF,Returns_Lag_1,Close_Lag_1,Volume_Lag_1,Returns_Lag_5,Close_Lag_5,Volume_Lag_5,Returns_Lag_10,Close_Lag_10,Volume_Lag_10,Returns_Lag_20,Close_Lag_20,Volume_Lag_20,Returns_Mean_5,Returns_Std_5,Returns_Skew_5,Returns_Kurt_5,Returns_Min_5,Returns_Max_5,Returns_Q25_5,Returns_Q75_5,Returns_Mean_10,Returns_Std_10,Returns_Skew_10,Returns_Kurt_10,Returns_Min_10,Returns_Max_10,Returns_Q25_10,Returns_Q75_10,Returns_Mean_20,Returns_Std_20,Returns_Skew_20,Returns_Kurt_20,Returns_Min_20,Returns_Max_20,Returns_Q25_20,Returns_Q75_20,Returns_Mean_50,Returns_Std_50,Returns_Skew_50,Returns_Kurt_50,Returns_Min_50,Returns_Max_50,Returns_Q25_50,Returns_Q75_50,Fourier_Sin_1,Fourier_Cos_1,Fourier_Sin_2,Fourier_Cos_2,Fourier_Sin_3,Fourier_Cos_3,Fourier_Sin_4,Fourier_Cos_4,Fourier_Sin_5,Fourier_Cos_5,DayOfWeek,Month,Quarter,Year,DayOfMonth,IsMonthEnd,IsQuarterEnd
2020-04-11,0.9510539770126344,1.0490729808807373,0.7650200128555298,0.7768189907073975,43862444,-0.1832019953825631,-0.2023634550614075,-0.4979361587109129,0.2840529680252075,-0.1832019953825631,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.9070464968681335,,,,,,0.0,1.1476902961730957,0.5795843601226807,,,,43862444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5,4,2,2020,11,0,0
2020-04-12,0.7854480147361755,0.9566699862480164,0.7624260187149048,0.8825070261955261,38736897,0.136052332335343,0.1275593864345037,-0.1168550252238566,0.1942439675331115,0.1235715281449298,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.905749499797821,,,,,,0.0,1.1045676370461783,0.626270701487859,,,,82599341,,,,,,-0.1832019953825631,0.7768189907073975,43862444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024930691738072875,0.9996891820008162,0.04984588566069716,0.9987569212189223,0.07473009358642425,0.9972037971811801,0.09956784659581666,0.9950307753654014,0.12434370464748516,0.9922392066001721,6,4,2,2020,12,0,0
2020-04-13,0.8907600045204163,0.8916029930114746,0.7739760279655457,0.7778319716453552,18211285,-0.1186110154855348,-0.1262562243668186,-0.5298723849770415,0.1176269650459289,-0.1267771703960387,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.905749499797821,,,,,,0.0,1.0470775233374703,0.6497949229346381,,,,64388056,,,,,,0.136052332335343,0.8825070261955261,38736897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04984588566069716,0.9987569212189223,0.09956784659581666,0.9950307753654014,0.14904226617617444,0.9888308262251285,0.19814614319939758,0.9801724878485438,0.24675739769029362,0.969077286229078,0,4,2,2020,13,0,0
2020-04-14,0.7778319716453552,0.7964720129966736,0.6281690001487732,0.6619250178337097,16747614,-0.149012843437724,-0.1613582426938894,-0.0803716486782782,0.1683030128479004,-0.149012843437724,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.8386209905147552,,,,,,0.0,1.001264398296674,0.6191509415705998,,,,47640442,,,,,,-0.1186110154855348,0.7778319716453552,18211285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07473009358642425,0.9972037971811801,0.14904226617617444,0.9888308262251285,0.2225209339563144,0.9749279121818236,0.2947551744109042,0.9555728057861407,0.365341024366395,0.9308737486442042,1,4,2,2020,14,0,0
2020-04-15,0.6692889928817749,0.7049639821052551,0.6215310096740723,0.646651029586792,13075275,-0.0230751034262235,-0.0233455013641515,-0.2192753546863451,0.0834329724311828,-0.0338238989969191,,,,,,,,,0.7491468071937561,,,,0.7184860721046543,,,0.0,0.0,0.0,,0.8353019952774048,,,,,,0.0,0.9492411812146505,0.6101772268613179,,,,34565167,,,,,,-0.149012843437724,0.6619250178337097,16747614.0,,,,,,,,,,-0.06756972507934048,0.12850168326872935,1.239327604049437,0.9512231586151264,-0.1832019953825631,0.136052332335343,-0.149012843437724,-0.0230751034262235,,,,,,,,,,,,,,,,,,,,,,,,,0.09956784659581666,0.9950307753654014,0.19814614319939758,0.9801724878485438,0.2947551744109042,0.9555728057861407,0.38843479627469474,0.9214762118704076,0.4782539786213182,0.8782215733702285,2,4,2,2020,15,0,0
2020-04-16,0.6308789849281311,0.7741919755935669,0.6251069903373718,0.6908159852027893,21346031,0.0682979746343535,0.0660667040906759,0.6325492962863113,0.149084985256195,0.0950055425946485,,,,,,,,,0.7319462060928345,,,,0.7092627098040327,,,0.0,0.0,0.0,,0.8353019952774048,,,,,,0.0,0.9319993125067817,0.5997510221269395,,,,55911198,,,,,,-0.0230751034262235,0.646651029586792,13075275.0,-0.1832019953825631,0.7768189907073975,43862444.0,,,,,,,-0.01726973107595716,0.12092300579076996,0.21283926091441185,-2.078179319704622,-0.149012843437724,0.136052332335343,-0.1186110154855348,0.0682979746343535,,,,,,,,,,,,,,,,,,,,,,,,,0.12434370464748516,0.9922392066001721,0.24675739769029362,0.969077286229078,0.365341024366395,0.9308737486442042,0.4782539786213182,0.8782215733702285,0.5837436722347898,0.8119380057158565,3,4,2,2020,16,0,0
2020-04-17,0.6893119812011719,0.7196140289306641,0.6607279777526855,0.6607279777526855,9870810,-0.043554301137475,-0.0445312623745834,-0.5375810144752436,0.0588860511779785,-0.0414674403289448,,,,,,,,,0.6875903964042663,,,,0.6930844657869171,,,0.0,0.0,0.0,,0.8353019952774048,,,,,,0.0,0.9044626553853352,0.6028538204374767,,,,46040388,,,,,,0.0682979746343535,0.6908159852027893,21346031.0,0.136052332335343,0.8825070261955261,38736897.0,,,,,,,-0.05319105777052076,0.08547076730530531,0.4414584590781773,-0.47427044618704883,-0.149012843437724,0.0682979746343535,-0.1186110154855348,-0.0230751034262235,,,,,,,,,,,,,,,,,,,,,,,,,0.14904226617617444,0.9888308262251285,0.2947551744109042,0.9555728057861407,0.4338837391175581,0.9009688679024191,0.5633200580636221,0.8262387743159949,0.6801727377709194,0.7330518718298263,4,4,2,2020,17,0,0
2020-04-18,0.6607279777526855,0.7176179885864258,0.6594269871711731,0.6810960173606873,9782112,0.0308266643668986,0.0303610671049906,-0.0089858886960644,0.0581910014152526,0.0308266643668986,,,,,,,,,0.6682432055473327,,,,0.6890883163115071,,,0.0,0.0,0.0,,0.8353019952774048,,,,,,0.0,0.8844345733523369,0.6059790924191475,,,,55822500,,,,,,-0.043554301137475,0.6607279777526855,9870810.0,-0.1186110154855348,0.7778319716453552,18211285.0,,,,,,,-0.02330352180003408,0.08296669661499924,-0.7789437747477965,0.6764965246365632,-0.149012843437724,0.0682979746343535,-0.043554301137475,0.0308266643668986,,,,,,,,,,,,,,,,,,,,,,,,,0.17364817766693033,0.984807753012208,0.3420201433256687,0.9396926207859084,0.5,0.8660254037844386,0.6427876096865393,0.766044443118978,0.766044443118978,0.6427876096865394,5,4,2,2020,18,0,0
2020-04-19,0.6815159916877747,0.6846410036087036,0.5984870195388794,0.6069689989089966,9289670,-0.1088349022197193,-0.1152255737489492,-0.0503410715395612,0.0861539840698242,-0.1093840697621231,,,,,,,,,0.6572520017623902,,,,0.6617152105106703,,,0.0,0.0,0.0,,0.8237800002098083,,,,,,0.0,0.8657403235082274,0.5990790106632091,,,,46532830,,,,,,0.0308266643668986,0.6810960173606873,9782112.0,-0.149012843437724,0.6619250178337097,16747614.0,,,,,,,-0.015267933556433144,0.06841750705522409,-0.20916127829859443,-0.5512110409019613,-0.1088349022197193,0.0682979746343535,-0.043554301137475,0.0308266643668986,,,,,,,,,,,,,,,,,,,,,,,,,0.19814614319939758,0.9801724878485438,0.38843479627469474,0.9214762118704076,0.5633200580636221,0.8262387743159949,0.7158668492597184,0.6982368180860727,0.8400259231507714,0.5425462638657594,6,4,2,2020,19,0,0
2020-04-20,0.6129480004310608,0.6392539739608765,0.5205780267715454,0.538811981678009,8342616,-0.1122907716102422,-0.1191110351189824,-0.1019470013466571,0.118675947189331,-0.1209499316433286,,,,,,,,,0.6356841921806335,0.6924154996871948,,,0.6207474675664499,0.6670193411878934,,0.0,0.0,0.0,,0.7848255038261414,,,,,,0.0,0.8476553519566854,0.5839249809583028,,,,38190214,18926475.4,,,,,-0.1088349022197193,0.6069689989089966,9289670.0,-0.0230751034262235,0.646651029586792,13075275.0,,,,,,,-0.033111067193236886,0.081370162220777,0.2880773224105794,-2.449409264971544,-0.1122907716102422,0.0682979746343535,-0.1088349022197193,0.0308266643668986,-0.05034039613628868,0.10301221144937055,0.5893907334547578,-0.649568512720446,-0.1832019953825631,0.136052332335343,-0.11703095451671164,0.01735122241861807,,,,,,,,,,,,,,,,,0.2225209339563144,0.9749279121818236,0.4338837391175581,0.9009688679024191,0.6234898018587335,0.7818314824680298,0.7818314824680298,0.6234898018587336,0.9009688679024191,0.4338837391175582,0,4,2,2020,20,0,0
