Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.30637162736958795,0.4920598,0.18568816967898077,0.2704487343529174,0.19885692,0.0715918143490264,0.44480475611403864,0.0
High,0.30698344470751715,0.49424076,0.1872573160957055,0.27150390647965783,0.19880936,0.0726945509822976,0.44697507093635996,0.0
Low,0.3035200348189266,0.48999527,0.18647523614855693,0.2683464662419268,0.19949089,0.06885557633504358,0.44520166193757604,0.0
Close,0.30541454329589096,0.49492756,0.18951301202675613,0.26985981703929907,0.19919252,0.07066729308300024,0.447498648831239,0.0
Volume,0.14909818948632253,0.43070757,0.2816093844043635,0.1070748921400404,0.21569195,0.1086170617574358,0.6263680583704905,0.0
Returns,0.5220076702888534,0.49646452,0.025543149596028103,0.07231013039461745,0.21568508,0.14337495406754838,0.32679705445210105,0.0
Log_Returns,0.5524664507368763,0.5077992,0.04466724257266119,0.0716288726452131,0.21505864,0.14342976700036336,0.35338129982434807,0.0
Volume_Change,0.19096949385720302,0.3680126,0.1770431132404227,0.07664429892684335,0.21631594,0.13967164109562522,0.5022800972841508,0.0
Price_Range,0.10364690708862258,0.4065327,0.3028857977415471,0.10244018107291632,0.21616948,0.11372929543617792,0.6445074989866235,0.0
Intraday_Return,0.4601134874235196,0.4647051,0.0045916221727328455,0.08677126938377387,0.22678545,0.14001418179000846,0.2652682069990542,0.0
RSI_14,0.6088353357911105,0.52769744,0.08113789182901332,0.14445796744957137,0.2033162,0.058858229349706886,0.22950445885691123,0.0
MACD,0.45947577165152453,0.5039989,0.04452310396645642,0.13301521903360314,0.20445105,0.07143583530103736,0.2346895689771653,0.0
MACD_Signal,0.4475888252166129,0.50639695,0.05880812407461633,0.13806195580774933,0.2036103,0.0655483452100119,0.25245743818402916,0.0
MACD_Diff,0.5149932710879678,0.5013198,0.0136734454387063,0.12995216760471753,0.20992282,0.0799706527249486,0.2345375624915552,0.0
Stoch_K,0.5953576663241528,0.50830007,0.08705760032989007,0.31001983228764834,0.22457814,0.08544169012151065,0.249113295500608,0.0
Stoch_D,0.5965513419708511,0.5056355,0.0909158420166275,0.29154082105152884,0.22459455,0.06694627270691672,0.25424773679232526,0.0
ROC_10,0.5008942487851477,0.4904939,0.010400355161795605,0.12318174092269754,0.21049923,0.08731748612426901,0.18021213349547358,0.0
Williams_R,0.5961261435569591,0.5143653,0.08176082811964225,0.3097824163236464,0.22619507,0.08358734915636429,0.24112451020132408,0.0
