Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.3972598596294169,0.49528903,0.09802916806147055,0.24211218414346378,0.20003906,0.04207312521974246,0.228600864748007,0.0
High,0.40077261762496247,0.5009341,0.10016150636795745,0.24446159945455204,0.1994091,0.04505250202146183,0.23146365356032972,0.0
Low,0.3996822920036902,0.49203318,0.0923508915709863,0.24390084714134647,0.19923964,0.04466120571335269,0.22692879340629643,0.0
Close,0.3960627540602016,0.49585366,0.09979090843064314,0.2414061146962516,0.2000472,0.041358919738518435,0.2296057965139846,0.0
Volume,0.13282739049012668,0.4000254,0.2671980070490121,0.0868176568098972,0.20965438,0.12283671910086177,0.6459684502094312,0.0
Returns,0.5028993018347216,0.48145467,0.02144463140549191,0.07308220924359116,0.21296719,0.13988497792262283,0.3238075935684367,0.0
Log_Returns,0.5374637967371696,0.5009403,0.036523473861193034,0.0723984972316431,0.21236862,0.13997012519057522,0.3439653425212809,0.0
Volume_Change,0.11368505027270186,0.32549563,0.21181058022999893,0.05930329488383313,0.20467223,0.14536893738640766,0.6040991082286178,0.0
Price_Range,0.16490673063273556,0.41720906,0.2523023283672797,0.13830702512708834,0.22005296,0.0817459324077017,0.5030147952979327,0.0
Intraday_Return,0.5093739014688871,0.47628593,0.03308796702064487,0.09443285519775368,0.2243139,0.1298810446769335,0.2974429131198487,0.0
RSI_14,0.6155833374249066,0.5365617,0.07902160990110285,0.13282488582368315,0.20379806,0.07097316982512056,0.2438015133090123,0.0
MACD,0.6234586364505238,0.53406525,0.08939338986849255,0.1125264076087197,0.2027268,0.09020038866069711,0.34927712471287664,0.0
MACD_Signal,0.6238239608770864,0.5355444,0.08827956543030901,0.12101586778344457,0.20276093,0.08174506704626734,0.33340089177138227,0.0
MACD_Diff,0.4951605445829218,0.4808624,0.014298135706502735,0.11222428994004034,0.20651382,0.09428953213866449,0.24663896770706661,0.0
Stoch_K,0.5930830613028575,0.5124179,0.08066514881964215,0.29750173212716713,0.2252168,0.07228492619226112,0.22164234562896912,0.0
