Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.18448679821646716,0.49697894,0.31249214036309214,0.2011079179529056,0.20018876,0.0009191619638309056,0.5742404273029967,0.0
High,0.18473746685913287,0.5052057,0.32046822400161545,0.2016343109440357,0.20035526,0.0012790493797809332,0.583263965963744,0.0
Low,0.18161555330197418,0.48333463,0.30171907742579374,0.19812216497086613,0.2002899,0.002167740100392418,0.5649278579356272,0.0
Close,0.18472965262001342,0.49997398,0.31524432995254215,0.20144551150608803,0.20033465,0.001110858247764357,0.5757549482056973,0.0
Volume,0.05397617036795078,0.3642765,0.3103003281881863,0.05703084991725701,0.20088156,0.14385070575920325,0.7835911487236404,0.0
Returns,0.5992201453069446,0.5232957,0.07592444475686522,0.057664059270289364,0.21279487,0.15513081086787897,0.4357715963743989,0.0
Log_Returns,0.676081730140833,0.55653244,0.11954928757110028,0.05250956009602787,0.20944041,0.15693085004114865,0.5078096096929338,0.0
Volume_Change,0.14644279651740863,0.3450397,0.19859689898391888,0.059177852044136746,0.21072099,0.15154313408371664,0.5897209119496856,0.0
Price_Range,0.07073054677537367,0.4450974,0.37436684006163196,0.10058723300477458,0.23686998,0.13628274291971731,0.7245190529041806,0.0
Intraday_Return,0.5970754027152888,0.5162322,0.0808432101989619,0.05729838893758638,0.21192175,0.15462336256158965,0.4446448390677026,0.0
RSI_14,0.5706490942590605,0.52480704,0.04584205833605637,0.14942715931373607,0.20340769,0.053980530615272415,0.18760405105438402,0.0
MACD,0.43154145027649304,0.49506277,0.06352131818282702,0.09411301716325021,0.20296913,0.10885611669066214,0.3608317147613762,0.0
MACD_Signal,0.4236574485354109,0.49223918,0.06858172869160939,0.09894888262715734,0.20345037,0.10450148422751032,0.3571379023307436,0.0
MACD_Diff,0.4749821191885808,0.4803148,0.005332672013964368,0.08672843778025582,0.20804282,0.12131437754738852,0.2851056696263411,0.0
Stoch_K,0.5588705387377557,0.5260378,0.032832726504784526,0.2982421122415049,0.2260702,0.07217191680502721,0.1676320292267851,0.0
Stoch_D,0.563255104125119,0.5302848,0.03297028213796693,0.2824887905409976,0.22290143,0.059587356834714056,0.1564581021087681,0.0
ROC_10,0.37218070279588444,0.4471296,0.07494890440473811,0.09403770122712797,0.20619507,0.11215737011247927,0.32560465223825374,0.0
Williams_R,0.559396574623808,0.5233444,0.036052177078947145,0.2981377949346683,0.2262846,0.07185320159093356,0.17015237698853125,0.0
SMA_5,0.18966864643657172,0.50340146,0.3137328118268255,0.20467062544771766,0.19969699,0.004973637580362317,0.5763041065482797,0.0
SMA_10,0.19326201919011254,0.5125512,0.31928916927882056,0.20820061579790478,0.19978625,0.008414369974998281,0.5814893174250833,0.0
SMA_20,0.19542850259726735,0.509017,0.31358848806435374,0.209868506236585,0.20000345,0.009865061088116994,0.5761538105808361,0.0
SMA_50,0.19871023834676285,0.50529736,0.30658712445765,0.2119098811120912,0.20018348,0.011726400134079107,0.5647660007399187,0.0
EMA_5,0.18908950905852487,0.50371426,0.3146247543806536,0.20396692770941843,0.19946808,0.004498851480322974,0.5782232704402516,0.0
EMA_10,0.1918916769238751,0.50978893,0.3178972534922321,0.2065662176410596,0.19963196,0.006934258441154195,0.5805297354790973,0.0
