Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.40717303720782144,0.45581153,0.04863849314381735,0.24275800735640643,0.20041227,0.04234573394942401,0.15641467369274423,0.0
High,0.4072374709291055,0.463365,0.05612751763633944,0.24548435810509484,0.2002716,0.045212751659782335,0.1623007026077557,0.0
Low,0.4113587684904964,0.45228332,0.0409245543206303,0.2411008062789698,0.20057714,0.04052366642453864,0.14962505066882853,0.0
Close,0.4079760775080025,0.4537961,0.0458200111875236,0.24290588951429634,0.20009916,0.04280673420748024,0.1556124172409134,0.0
Volume,0.22157236662806767,0.47182944,0.2502570775419305,0.11356900984485988,0.21432516,0.10075614994327184,0.5897936089717606,0.0
Returns,0.5338867393243019,0.49269855,0.04118818909999766,0.045601702749366965,0.2092548,0.16365309852397897,0.41788271855154707,0.0
Log_Returns,0.564007535160772,0.5034386,0.06056894320367967,0.04520270764436544,0.20978591,0.16458320081625163,0.44753242805026344,0.0
Volume_Change,0.22079044544415327,0.36953476,0.148744315269424,0.07826230998791397,0.21451673,0.13625441912852584,0.4881350493176597,0.0
Price_Range,0.14328233396163398,0.465012,0.32172967995056695,0.1164122678765156,0.2280066,0.11159433345710257,0.6560937711120118,0.0
Intraday_Return,0.49304073522671976,0.46819875,0.024841988783924962,0.08003542440788747,0.22688319,0.14684776348216533,0.3220088501553844,0.0
RSI_14,0.6208880307711016,0.5025966,0.11829141402610643,0.13509469998022638,0.20422623,0.06913152563432134,0.313091136332928,0.0
MACD,0.7501876117238927,0.54854226,0.20164535060023547,0.09212544251210598,0.20274583,0.11062038254015537,0.5600763410349953,0.0
MACD_Signal,0.7542825378685545,0.53212386,0.22215867417150248,0.10278054846459604,0.2043821,0.10160155819720053,0.5713670449939198,0.0
MACD_Diff,0.5096226921367375,0.5029704,0.006652294664355907,0.08791046421163395,0.20657527,0.11866481025583431,0.2600070936359951,0.0
Stoch_K,0.6242300997962614,0.50843984,0.11579026091000044,0.30457379354376524,0.22755985,0.07701394392389982,0.2855526280232401,0.0
Stoch_D,0.6243970358383772,0.5033955,0.12100153803945757,0.28312002692618754,0.22512874,0.057991286853937174,0.2897496959870287,0.0
ROC_10,0.5555321205674748,0.50044924,0.05508288035980269,0.06526919666261026,0.20671038,0.1414411866334026,0.385961356573436,0.0
Williams_R,0.6249985770290678,0.5112516,0.11374694863017254,0.30425921374666276,0.22859938,0.07565982931959214,0.2819720308066478,0.0
SMA_5,0.6158841034267472,0.5423613,0.07352278436165316,0.15882036274889538,0.19945955,0.040639190015997195,0.2107738819078503,0.0
SMA_10,0.6163061639357656,0.5366839,0.07962224689017239,0.15906439314354334,0.1998668,0.04080240835677709,0.22061207944872316,0.0
SMA_20,0.6211781559496384,0.5387556,0.08242256026558692,0.1613269614638015,0.1993893,0.0380623323260621,0.21866977435481694,0.0
SMA_50,0.6256040763205413,0.55026734,0.07533673756779469,0.1713785721685789,0.20040885,0.02903027397132893,0.2172763815700581,0.0
EMA_5,0.6164097721095829,0.54397184,0.07243793554265787,0.1589080850399805,0.19987866,0.04097057778465024,0.2095156059991893,0.0
EMA_10,0.6184923422851875,0.54387975,0.07461259489444039,0.1595351246066786,0.19920005,0.039664924436023125,0.20991251182272666,0.0
EMA_20,0.6219935321386402,0.5426723,0.07932125564175296,0.16138458295445018,0.20003149,0.038646906179384655,0.2183573165788407,0.0
ADX,0.3350294077425497,0.4910378,0.1560083782643778,0.14352902554471803,0.20788787,0.0643588475088327,0.41380387785434397,0.0
ADX_Pos,0.46021243041738125,0.4831098,0.022897371590293925,0.1463904679521676,0.21154921,0.06515873961600105,0.16067930009458176,0.0
ADX_Neg,0.3655062020369719,0.46210787,0.09660166496551531,0.11708520587215052,0.20737007,0.09028486673107519,0.3012261856505878,0.0
Ichimoku_A,0.6200095567389984,0.53765815,0.08235140177455136,0.16266469288162366,0.19973913,0.037074435469587885,0.2210005404675044,0.0
Ichimoku_B,0.3985133024195402,0.4697371,0.07122381010258505,0.2595232131645247,0.19995208,0.05957113231869188,0.18753377921902448,0.0
BB_High,0.6190085996458945,0.5580803,0.06092828405598971,0.160464299821306,0.20049034,0.04002604076917099,0.2000067558438049,0.0
BB_Low,0.6177147625480186,0.52039534,0.09731942401270977,0.16179865052377068,0.20018078,0.03838213334406532,0.24591271449804078,0.0
BB_Mid,0.6211781559496384,0.5417931,0.07938504796318824,0.1613269614638015,0.19930235,0.037975384050496,0.21467538170517497,0.0
