Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.6200621696096116,0.44972375,0.17033841925675208,0.17641654763259584,0.20440589,0.027989341282466107,0.38562701938610666,0.0
High,0.6057092294743879,0.44645655,0.15925267792256903,0.18244180020346198,0.20387082,0.021429017815451284,0.3651723209477652,0.0
Low,0.6218109768930862,0.44257155,0.1792394262854049,0.17524215533065834,0.20269985,0.027457699639319988,0.40002355950457724,0.0
Close,0.6202296799808764,0.44592687,0.17430280510485407,0.17652561676100575,0.20321706,0.026691442612849836,0.3920469843834141,0.0
Volume,0.2166497999275707,0.4308375,0.2141877120887257,0.07398418313555524,0.21838291,0.14439872675843432,0.5887688476036619,0.0
Returns,0.5463258482935947,0.4923132,0.05401264209776335,0.049766174432005095,0.21168247,0.16191629422072013,0.42598949919224555,0.0
Log_Returns,0.5708906586873873,0.5134352,0.057455473731790385,0.049338503412757986,0.21292324,0.16358474022909536,0.42591377221324717,0.0
Volume_Change,0.011053120985087438,0.27532637,0.2642732502078447,0.02022255241858674,0.19284728,0.1726247292758255,0.919216141626279,0.0
Price_Range,0.10620036204474986,0.3965793,0.29037893335205495,0.08004881890305815,0.21836644,0.1383176252078122,0.6915471863220248,0.0
Intraday_Return,0.546320809005554,0.4962008,0.05012000906353742,0.04975262523966098,0.21197045,0.16221782325429654,0.4183579025309639,0.0
RSI_14,0.6176348178010482,0.49897358,0.11866123958640284,0.12975757299676643,0.2068129,0.07705533028826012,0.32982464997307487,0.0
MACD,0.8041376665647797,0.5611776,0.2429600552137665,0.09449380964539518,0.20326552,0.1087717083046628,0.6215586295099622,0.0
MACD_Signal,0.8034322328335499,0.54712135,0.25631088683669323,0.0994860019198255,0.20555834,0.10607234280196863,0.6329008481421647,0.0
MACD_Diff,0.6041283525881032,0.5407364,0.06339197534887586,0.08431022085462357,0.20663176,0.12232154391493057,0.3608727113624125,0.0
Stoch_K,0.5651122472383441,0.50604266,0.05906958795565975,0.3003266273047509,0.22960873,0.07071789782305382,0.18874528809908453,0.0
Stoch_D,0.566935122977655,0.5061439,0.06079119540349731,0.2789611366040054,0.22935127,0.04960986938541562,0.16762587506731286,0.0
ROC_10,0.6432128878205685,0.5290731,0.11413976865705533,0.07454878887103393,0.20835266,0.13380386630131408,0.4651235191168552,0.0
Williams_R,0.5658779311371055,0.51801926,0.04785867216112283,0.3001596008755489,0.22922038,0.07093922545688586,0.17766390683898758,0.0
SMA_5,0.8459344997484746,0.5910882,0.25484632397485396,0.07226498868848587,0.20094426,0.12867927107427812,0.635492393645665,0.0
SMA_10,0.8470237556256714,0.5860703,0.2609534564771119,0.07339271664677414,0.20166802,0.1282753074163362,0.6449077813677975,0.0
SMA_20,0.8528531924126355,0.5819539,0.2708993092415539,0.07896871163547424,0.2018466,0.12287788794338318,0.6620809773828755,0.0
SMA_50,0.8507780525282187,0.57763374,0.27314431401045747,0.11092775222813751,0.20180106,0.09087330940211151,0.6847485864297254,0.0
EMA_5,0.8471213418001062,0.5888354,0.2582859235757715,0.07220789375976282,0.20109658,0.12888868567272466,0.6393039849219171,0.0
EMA_10,0.8503135432833249,0.58802164,0.26229190727410856,0.0733700915998286,0.20110872,0.12773863227903187,0.647120691976306,0.0
EMA_20,0.8573811497900986,0.59057707,0.266804083845427,0.07886661583944546,0.20118342,0.12231680756047977,0.6587405761981691,0.0
ADX,0.33599580642537885,0.49171144,0.1557156312768001,0.12699023624287265,0.21094722,0.08395697931422574,0.4069904415724287,0.0
ADX_Pos,0.5060263210091264,0.49024087,0.01578544910284585,0.1512961663956083,0.21530046,0.06400428929382193,0.1513445745826602,0.0
ADX_Neg,0.38209758187294146,0.46985784,0.08776025985717634,0.11752448142173397,0.21099913,0.09347464978096379,0.2951080371567043,0.0
Ichimoku_A,0.8541875800903642,0.5810476,0.2731399855430925,0.08457645148202457,0.20214345,0.11756699412897549,0.6656401453957997,0.0
Ichimoku_B,0.5590119331122149,0.44309863,0.11591329863078481,0.21015911610293656,0.20459545,0.005563669516327668,0.30205809100700054,0.0
BB_High,0.8525781903372928,0.6014805,0.2510977063285037,0.07476312724718641,0.2014437,0.12668057473531175,0.6433595853527194,0.0
BB_Low,0.8438004804196022,0.5648636,0.2789368582310341,0.08545896077984601,0.20287271,0.11741374765998096,0.6583282848680667,0.0
BB_Mid,0.8528531924126355,0.5792127,0.27364046725012936,0.07896871163547424,0.20258647,0.1236177603989801,0.6661029213785675,0.0
BB_Width,0.11320483269173713,0.40715277,0.2939479392580309,0.08561373004046476,0.20491847,0.11930474391850436,0.7381276925148089,0.0
BB_Pct,0.5207904658871028,0.4801376,0.04065287929347483,0.18023525347204597,0.2169939,0.036758644681259084,0.11947193053311794,0.0
ATR_14,0.2800458002301885,0.5356267,0.25558090923102367,0.09614613069020468,0.20374641,0.10760027753390115,0.6477180936995154,0.0
Keltner_High,0.5570216300992727,0.42725784,0.129763794234252,0.21430962224136002,0.2027616,0.011548016859394383,0.3095382337102854,0.0
Keltner_Low,0.607828785433532,0.42888373,0.17894505406832817,0.19348083690532358,0.20313452,0.009653684936679285,0.39215636779752294,0.0
Keltner_Mid,0.8527883469865217,0.5878747,0.26491363642667676,0.0790009998505237,0.2007349,0.12173389859746672,0.652480479267636,0.0
HV_20,0.19121892158159973,0.4895207,0.29830177720418216,0.10634414282971998,0.20503005,0.09868591102426867,0.6913704900376951,0.0
HV_50,0.2678042862294582,0.5127127,0.24490843082681624,0.13293755204176042,0.20443304,0.07149548678899673,0.5855125875067313,0.0
OBV,0.4072062779727408,0.5030419,0.09583564507337128,0.2656239266888302,0.2044924,0.061131521631876795,0.28786348949919227,0.0
Volume_SMA_10,0.40885409506698933,0.555038,0.14618388024428997,0.0898924034464265,0.20696409,0.11707168702007283,0.4873956650511578,0.0
Volume_SMA_20,0.46041176400419304,0.570372,0.1099602214312928,0.09151289947430484,0.20433319,0.11282028667529233,0.4341427705977383,0.0
Volume_ROC,0.011289569847989143,0.27894387,0.2676542966433286,0.025487456834960127,0.19377892,0.16829146035845266,0.918189620355412,0.0
MFI,0.5298911242327022,0.49770612,0.032185008986883146,0.14992174864914973,0.21917225,0.06925050555560033,0.1717319601507808,0.0
CMF,0.4825862045126161,0.48561037,0.003024161354998667,0.16332128198900758,0.21648856,0.053167273084730515,0.1041330102315563,0.0
Returns_Lag_1,0.5463279032313179,0.49650618,0.04982171889179454,0.04977157185782359,0.21783693,0.16806535949002338,0.4181643780290792,0.0
Close_Lag_1,0.8447079741358259,0.5861754,0.2585325919985273,0.07215087001156241,0.20156156,0.12941068525481791,0.6395395799676897,0.0
Volume_Lag_1,0.2166382188487123,0.4225449,0.20590667775391833,0.07397365953332995,0.2187062,0.14473254595392132,0.5729839795368874,0.0
Returns_Lag_5,0.5463416720860522,0.5014818,0.04485990061693601,0.04978674945823091,0.21883656,0.16904981138714414,0.4119800080775444,0.0
Close_Lag_5,0.8443365515815354,0.58491504,0.2594215096580125,0.07257076660488426,0.20232199,0.12975122471954048,0.6412560581583199,0.0
Volume_Lag_5,0.21656467744831004,0.42035452,0.20378983786579213,0.07396641534362855,0.2190754,0.1451089813133615,0.5710150780829295,0.0
Returns_Lag_10,0.5463547037467054,0.49744573,0.04890897139158756,0.049804490146632394,0.21757142,0.1677669323110626,0.41919931340872374,0.0
Close_Lag_10,0.8437135413131808,0.58516926,0.2585442855796908,0.07399908499778383,0.20167828,0.12767919106422787,0.6414916532040926,0.0
Volume_Lag_10,0.21644000907636365,0.42444232,0.20800231198572436,0.0740334087330727,0.220467,0.1464335924666496,0.5745574178782983,0.0
Returns_Lag_20,0.5463742620842715,0.49324384,0.05313041876723967,0.04983591717150514,0.21727234,0.16743642407986814,0.4252154011847065,0.0
Close_Lag_20,0.8419523133426294,0.5850399,0.25691239968830204,0.07962432784789605,0.2022279,0.12260357754475074,0.6393208131394723,0.0
Volume_Lag_20,0.21608275255759232,0.41179556,0.19571280398766525,0.07436955658118914,0.2173159,0.14294634076435375,0.5585790253096392,0.0
Returns_Mean_5,0.6525089421650093,0.54352695,0.10898199466668779,0.059430459031557886,0.20890367,0.14947321127941623,0.4788301023155627,0.0
Returns_Std_5,0.13762530738824597,0.4599263,0.32230099981313953,0.09776905070365408,0.21329536,0.11552630473553202,0.7151655896607432,0.0
Returns_Skew_5,0.5111999170316793,0.48220533,0.028994585706148324,0.20672408457422511,0.24100849,0.03428440574979527,0.11230310985460418,0.0
Returns_Kurt_5,0.40899104815802273,0.45890248,0.049911430060055884,0.24013206287989752,0.24889429,0.0087622262560354,0.08389707862143236,0.0
Returns_Min_5,0.8661367538191703,0.5465748,0.31956198241490397,0.0862400594915753,0.21292362,0.12668355667930786,0.7272819063004846,0.0
