Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.3311972312248147,0.48786914,0.15667191226120825,0.24651125324779716,0.19859631,0.04791493965202537,0.3908340089177138,0.0
High,0.3281081097047286,0.48690125,0.15879314375710918,0.24344963080887763,0.1983941,0.045055525970506355,0.3917038238075936,0.0
Low,0.3323134431046631,0.48064935,0.14833590896900634,0.24657320638640892,0.19865987,0.04791333933814537,0.3823132009187947,0.0
Close,0.3329561453276155,0.48394927,0.15099312849707625,0.24727009337600012,0.1985279,0.04874219101126928,0.3857671260640454,0.0
Volume,0.10403742405263568,0.36963525,0.2655978300920329,0.06837561874376909,0.20622836,0.13785274178994522,0.6909201459262262,0.0
Returns,0.42043499176104426,0.4576861,0.037251104668780566,0.06423118143108264,0.21145514,0.14722395510646924,0.3583130658019186,0.0
Log_Returns,0.4536611253841693,0.46899682,0.015335697449845587,0.06519940971677725,0.21090741,0.1457080048387724,0.3222284150790433,0.0
Volume_Change,0.19114078880532234,0.37022915,0.17908836601988823,0.09960392581614783,0.22491986,0.12531592977848718,0.45764085934333204,0.0
Price_Range,0.1485520346867415,0.4246578,0.27610575716620955,0.12330389318676523,0.22292557,0.09962168040065238,0.5609123767058506,0.0
Intraday_Return,0.4678967001496824,0.46587682,0.002019882446435306,0.11115045231726223,0.23250009,0.12134963887784428,0.23402242940143222,0.0
RSI_14,0.6145949722496714,0.53144956,0.0831454158989634,0.1285435050444414,0.20256144,0.07401793303920728,0.26018443453587353,0.0
MACD,0.49955422174590935,0.50516284,0.00560861337524543,0.1394562520605734,0.20258787,0.06313162068303316,0.18139440616132957,0.0
MACD_Signal,0.5020088953671611,0.50526726,0.0032583670916401797,0.14703836541552462,0.20361675,0.05657838780503355,0.18011924064315632,0.0
MACD_Diff,0.49819787734881105,0.49432468,0.0038731932057446405,0.1040032998587958,0.20543273,0.10142942807413419,0.23101607890825565,0.0
Stoch_K,0.5807527830219189,0.5170082,0.06374459763526119,0.2957161815817909,0.22679575,0.06892043370562362,0.1980560059451425,0.0
Stoch_D,0.5865681009742494,0.51999736,0.06657074265210583,0.27520954394039443,0.22646518,0.04874436342415145,0.19026989596000532,0.0
ROC_10,0.46150462142284243,0.48112097,0.01961635240261228,0.09990222676856865,0.20607924,0.10617701784507881,0.24967909741926775,0.0
Williams_R,0.5811820643146869,0.5211548,0.06002724339565002,0.29574477606295696,0.22648446,0.06926031344412914,0.1941122821240372,0.0
SMA_5,0.42180441424164555,0.5167106,0.09490616515364864,0.21856648330394574,0.19849777,0.02006871108714886,0.29924165653290097,0.0
SMA_10,0.42323004505049855,0.50989354,0.08666349151718944,0.21931218616593912,0.19810815,0.021204034610877776,0.2902310498581273,0.0
SMA_20,0.43615476359167676,0.52186775,0.08571298848351855,0.22628398814363365,0.19788276,0.02840123155279045,0.2964970949871639,0.0
SMA_50,0.4501709426016353,0.52630395,0.076133004370258,0.23628877703016996,0.19797957,0.038309207595050326,0.2814146736927442,0.0
EMA_5,0.4218746539435038,0.5151389,0.09326427017835287,0.21855258755411214,0.19814958,0.0204030107709319,0.2978989325766789,0.0
EMA_10,0.42616788396774535,0.5183074,0.09213950386108155,0.22074463690623058,0.1973259,0.02341873670920147,0.3010741791649777,0.0
EMA_20,0.4338253876846964,0.5228204,0.08899502542794396,0.22491637514425902,0.19785084,0.027065536840693044,0.2995625591136333,0.0
ADX,0.42133734274612783,0.5029928,0.08165546607268931,0.15691632295187513,0.20778947,0.05087314283315142,0.25494021078232665,0.0
ADX_Pos,0.38591058144219403,0.46493194,0.07902135362975116,0.11379855342506918,0.20576857,0.09197001687884775,0.2889558843399541,0.0
ADX_Neg,0.47256384649953254,0.4735925,0.0010286434582769122,0.1470719287871826,0.20885985,0.06178791720872043,0.1318994054857452,0.0
Ichimoku_A,0.43281248749688706,0.5198981,0.08708562909170547,0.22458231769364972,0.19824955,0.026332769020019964,0.29681799756789623,0.0
Ichimoku_B,0.3528231811184656,0.49844748,0.1456242966990698,0.2661474167762801,0.19871981,0.06742760235653372,0.4028171868666397,0.0
BB_High,0.4178884487816348,0.5187281,0.10083962863001683,0.21788570511991642,0.19765751,0.020228194481679423,0.31070970139170384,0.0
BB_Low,0.4349184138424108,0.5191018,0.0841833846919825,0.22508677647973277,0.19849943,0.026587350234043378,0.2869966896365356,0.0
BB_Mid,0.43615476359167676,0.5226896,0.08653481732568163,0.22628398814363365,0.19821449,0.028069501902293015,0.2962437508444805,0.0
BB_Width,0.25552141553557856,0.4572088,0.20168739670120733,0.13477169410610962,0.20987716,0.07510546906565857,0.46443048236724765,0.0
BB_Pct,0.49966445782657193,0.48081824,0.018846215991931425,0.18312800458816816,0.21371588,0.030587876521069507,0.0711221456559924,7.0764513428237625e-261
ATR_14,0.35330361364072616,0.55703807,0.20373445513063615,0.22115317867040787,0.20165776,0.019495421507360083,0.39296209971625456,0.0
Keltner_High,0.3468915199696341,0.4976709,0.15077936893112276,0.260449706245575,0.19825993,0.062189771462593135,0.39704938521821376,0.0
Keltner_Low,0.3503369654022069,0.49268085,0.14234388224259903,0.26246135118302666,0.19783744,0.06462390902337395,0.3889508174571004,0.0
Keltner_Mid,0.4363737929793767,0.52360344,0.08722964635167801,0.22644388561028966,0.19867314,0.027770741627402395,0.29694466963923793,0.0
HV_20,0.29127292537665445,0.53047436,0.2392014393808834,0.13081615908371727,0.20235023,0.07153406994116981,0.5354175111471423,0.0
HV_50,0.386384346051466,0.5242605,0.1378761748835926,0.14743482833603755,0.20107083,0.05363600188990697,0.36972199702742875,0.0
OBV,0.5117494502901602,0.52154326,0.009793814098877918,0.22933892285979746,0.19979991,0.029539012672076204,0.14408525874881767,0.0
Volume_SMA_10,0.3627861812289388,0.5290047,0.16621851180237224,0.11276378370790582,0.20577651,0.09301272891492743,0.46891467369274425,0.0
Volume_SMA_20,0.46443220410058456,0.57064337,0.10621116128256364,0.12167453465727567,0.20140254,0.0797280103180051,0.35740102688825837,0.0
Volume_ROC,0.11325981370050939,0.3413634,0.22810358652036158,0.06985680292338384,0.2067197,0.1368628935983752,0.6225678962302392,0.0
MFI,0.557831427630169,0.521245,0.03658642488358699,0.15885734932614437,0.21565342,0.056796070168484536,0.15029219024456156,0.0
CMF,0.48893518775658745,0.5010645,0.012129291594456248,0.15756610096310122,0.21734856,0.0597824597277786,0.12899439264964185,0.0
Returns_Lag_1,0.42043193108732946,0.46243855,0.04200662248437159,0.06422327045108114,0.21973866,0.15551539179180826,0.36884373733279285,0.0
Close_Lag_1,0.4166370253715894,0.5112369,0.09459988068004632,0.21598447173479726,0.19834772,0.017636754211222433,0.29533171193082014,0.0
Volume_Lag_1,0.13650601367786497,0.37330863,0.23680261511966616,0.06590840573387141,0.20834346,0.14243505542202,0.6441781516011349,0.0
Returns_Lag_5,0.42041852521539086,0.46226218,0.04184365821241981,0.0641905787069354,0.22019683,0.15600624953918124,0.3693926496419403,0.0
Close_Lag_5,0.41538720730514184,0.50755405,0.09216684695511207,0.2154284985057941,0.19876812,0.016660374521457244,0.290577286853128,0.0
Volume_Lag_5,0.1365930174641691,0.36659986,0.23000684034299032,0.06595673545626504,0.20950295,0.14354621485444205,0.6308438048912308,0.0
Returns_Lag_10,0.4204055947264319,0.45612153,0.03571593938268369,0.06415010679553115,0.21820657,0.15405646275689042,0.35711390352655037,0.0
Close_Lag_10,0.4164938115169368,0.51568997,0.09919615754586836,0.21621488525140825,0.1979161,0.01829877986181322,0.3020368869071747,0.0
Volume_Lag_10,0.1366828922351748,0.35768515,0.2210022564807981,0.06604385289015176,0.20766073,0.14161688176332116,0.6177965815430346,0.0
Returns_Lag_20,0.42038618310184184,0.4534601,0.03307391421108541,0.06410557328673265,0.21905132,0.15494574309376813,0.3525030401297121,0.0
Close_Lag_20,0.4235077264423216,0.52005947,0.09655173991967791,0.22059019847167924,0.19917804,0.02141215844406083,0.3003817051749763,0.0
Volume_Lag_20,0.13679683633180706,0.36573607,0.2289392309632674,0.06628803653659776,0.20819147,0.1419034327751164,0.6303877854344007,0.0
Returns_Mean_5,0.40861735966160534,0.45426896,0.045651602483246345,0.09338178995874004,0.20990889,0.11652709778520985,0.31028746115389816,0.0
Returns_Std_5,0.17242500412122902,0.45272285,0.2802978433404714,0.11105649183821037,0.2125864,0.10152991105485604,0.6319331847047696,0.0
Returns_Skew_5,0.5086396980727483,0.4953717,0.013267998739557418,0.2280151497523316,0.24441294,0.01639779396848598,0.06844514254830425,1.2785081310879929e-241
Returns_Kurt_5,0.4384280270950092,0.4831176,0.044689583121131526,0.2558439704278343,0.25253874,0.0033052297929160868,0.07080124307526012,1.5752586100685454e-258
Returns_Min_5,0.7507500555460074,0.5127715,0.23797856830998443,0.11885892952073687,0.21595778,0.09709884619127637,0.5624746655857317,0.0
Returns_Max_5,0.17190104511851995,0.42955583,0.2576547882211712,0.09710032304877346,0.2118314,0.11473108271008427,0.6333519119037968,0.0
Returns_Q25_5,0.7258073700152318,0.5452295,0.18057787544354598,0.09938796637727798,0.21436678,0.11497881235406815,0.49516112687474667,0.0
Returns_Q75_5,0.42370088731461397,0.4989022,0.07520131433791288,0.1058437083786056,0.22119495,0.11535124434775854,0.331019456830158,0.0
Returns_Mean_10,0.4901658533121669,0.4941536,0.003987735698071759,0.10147255967705872,0.20711896,0.10564639855772827,0.2272074719632482,0.0
Returns_Std_10,0.2386893630882069,0.50843465,0.26974529019395865,0.12640839381463453,0.20667538,0.080266986653734,0.5982215241183624,0.0
Returns_Skew_10,0.4974665953576363,0.50893426,0.01146766405703653,0.16508400471893053,0.21942145,0.05433744160446424,0.14060599918929872,0.0
Returns_Kurt_10,0.25706032053227423,0.42105666,0.16399633749728204,0.17581817870955083,0.22349285,0.04767466718335536,0.36561782191595726,0.0
Returns_Min_10,0.7871283346590305,0.50702786,0.2801004702028538,0.1454973550336457,0.21312366,0.06762630922626489,0.590790095932982,0.0
Returns_Max_10,0.16826419233521445,0.46244282,0.29417862296858804,0.1176689117030718,0.2096786,0.09200969349578837,0.671581543034725,0.0
Returns_Q25_10,0.7494741131567321,0.52767044,0.22180367009871815,0.11857229225059254,0.2140237,0.09545140214542644,0.5371993649506823,0.0
Returns_Q75_10,0.2679421231308357,0.45302165,0.18507952241512377,0.10485340982159662,0.21472017,0.1098667648486228,0.4830259424402108,0.0
Returns_Mean_20,0.6021368103071963,0.54805285,0.05408396292178985,0.12068289590723534,0.2075716,0.08688869999997596,0.250219564923659,0.0
Returns_Std_20,0.2912729253766538,0.5310295,0.23975659704232205,0.13081615908371738,0.20231947,0.0715033139444656,0.537917173354952,0.0
Returns_Skew_20,0.5066855263470941,0.517807,0.011121480488843427,0.13666229304724295,0.20642258,0.06976028922147195,0.19950851236319422,0.0
Returns_Kurt_20,0.1745540998399661,0.39968053,0.2251264252245023,0.1582937524066017,0.20821571,0.049921961094374856,0.5418524523713012,0.0
Returns_Min_20,0.7229131749532118,0.47496423,0.24794894370054155,0.1606044561611216,0.20839083,0.047786375786205065,0.5157580056749088,0.0
Returns_Max_20,0.21435670033138066,0.4934422,0.2790855072434637,0.13798009402313344,0.20562504,0.06764494829616435,0.6383681259289284,0.0
Returns_Q25_20,0.7885896791495363,0.53033215,0.2582575310744325,0.13163265986557113,0.21091092,0.07927825646285905,0.5781988920416159,0.0
Returns_Q75_20,0.22361629109997525,0.44917092,0.2255546261725925,0.10692961494180812,0.20911995,0.1021903308227335,0.5513444129171734,0.0
Returns_Mean_50,0.5407044865803862,0.50963235,0.03107213756610394,0.15771729020209702,0.20891216,0.0511948737707576,0.15340832319956763,0.0
Returns_Std_50,0.3863843460514651,0.52706206,0.1406777123973264,0.14743482833603755,0.20089383,0.05345900589724645,0.3763765031752466,0.0
Returns_Skew_50,0.37263454182415395,0.4912448,0.11861025111407847,0.13415373734819708,0.20270544,0.06855170555722895,0.391737603026618,0.0
Returns_Kurt_50,0.11936517030478609,0.4274277,0.3080625387978445,0.13170463145017042,0.20280525,0.071100619432932,0.7189146736927442,0.0
