Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.35462611624967566,0.46155608,0.10692996075380334,0.24771637319162676,0.19871289,0.0490034878118355,0.2946814619645994,0.0
High,0.3558320659861202,0.4669925,0.11116043145803262,0.24915403139394648,0.1989416,0.05021242809099086,0.30337116605864073,0.0
Low,0.35441993605759026,0.45306242,0.09864247906539558,0.24560601896279802,0.19891658,0.04668943470948686,0.2812711120118903,0.0
Close,0.3552968336160732,0.4612797,0.10598285664958229,0.24745912813767362,0.19949515,0.04796397649868894,0.29278982569922984,0.0
Volume,0.4016423461558107,0.50700146,0.10535911344273058,0.09610281274867467,0.21426217,0.11815935983109065,0.3951830833671126,0.0
Returns,0.563181994421099,0.50278074,0.060401258928392654,0.05271440709804454,0.20928688,0.15657247637535177,0.425651938927172,0.0
Log_Returns,0.58932850307355,0.51601464,0.07331386751065327,0.05200763793315532,0.2088947,0.1568870618787801,0.4432086880151331,0.0
Volume_Change,0.3481736425812158,0.42832255,0.08014891105342775,0.0635247416748685,0.21193303,0.14840829000333128,0.42833738683961625,0.0
Price_Range,0.1539367811451841,0.4477893,0.2938525302638125,0.13126017521266062,0.227918,0.09665782381649893,0.592639508174571,0.0
Intraday_Return,0.511498487521932,0.4801187,0.031379795600697924,0.07852253921358475,0.22176266,0.14324011795194258,0.3264085934333198,0.0
RSI_14,0.6421112825259422,0.48977768,0.15233359831421123,0.1323546073725305,0.20270263,0.0703480192134299,0.3707607080124307,0.0
MACD,0.7519335884643589,0.54685634,0.20507724471817357,0.11168145876339249,0.20277038,0.09108892340251633,0.5226067423321172,0.0
MACD_Signal,0.7464044449944514,0.52870053,0.21770391446542914,0.12217865322584241,0.20327875,0.08110009695535571,0.5356286312660451,0.0
MACD_Diff,0.5017065693123559,0.50119907,0.0005075026734093768,0.09786242691265426,0.2059547,0.10809227379573502,0.24079516281583568,0.0
Stoch_K,0.6507011744781737,0.516382,0.1343191954895262,0.30457985221186823,0.22719717,0.07738268195429987,0.3223804215646534,0.0
Stoch_D,0.6509829542251346,0.5150928,0.1358901640983341,0.28194707077975434,0.22556408,0.05638299328322571,0.3234444669639238,0.0
ROC_10,0.5624262211201247,0.4988929,0.06353331779218285,0.07460044326850639,0.20570382,0.13110338149002326,0.37153763004999324,0.0
Williams_R,0.65146965171098,0.5201647,0.13130492354630718,0.304198413824035,0.22712538,0.0770730373610986,0.3189180516146467,0.0
SMA_5,0.550121927864613,0.532293,0.017828906185688442,0.17334723009247244,0.19852498,0.025177751644664403,0.15491149844615593,0.0
SMA_10,0.5499041966448952,0.53180504,0.018099158192746767,0.17324489301491539,0.19812095,0.02487605863761147,0.15515639778408324,0.0
SMA_20,0.5516664731260656,0.53229165,0.019374822353970922,0.1742809487039453,0.19792634,0.023645393783389895,0.15830630995811376,0.0
SMA_50,0.5526610610387497,0.5418084,0.010852634658592208,0.18048674459303407,0.19823457,0.017747828413595873,0.1531043102283475,0.0
EMA_5,0.5504094927305812,0.53305656,0.017352935552083837,0.17340126343182186,0.19855696,0.025155696197236982,0.15437947574652072,0.0
EMA_10,0.5509671525041839,0.53403914,0.016928012756564303,0.17350900674644773,0.19849354,0.024984533540570092,0.1550128361032293,0.0
EMA_20,0.5519868509389814,0.53002894,0.02195791169185002,0.17426822080011256,0.19837995,0.02411172793512456,0.16258782596946358,0.0
ADX,0.41561659436349124,0.51494026,0.09932366747732907,0.15290643774009122,0.20814699,0.05524055160545932,0.2664842588839347,0.0
ADX_Pos,0.5052002990586222,0.47224668,0.03295362237519628,0.14977357712444217,0.21024135,0.060467770426903655,0.1533407647615187,0.0
ADX_Neg,0.38324769607484205,0.47105557,0.08780787118971484,0.11824649068659364,0.20696808,0.08872159329110564,0.2877144980408053,0.0
Ichimoku_A,0.5502639753133668,0.53095776,0.019306216886700533,0.1749514534259105,0.19898646,0.0240350023722386,0.15969125793811645,0.0
Ichimoku_B,0.34034970890933175,0.4654787,0.1251289795691381,0.25707470070664357,0.19890966,0.05816504549328755,0.34138967707066614,0.0
