Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.4890216757449262,0.45865846,0.030363218942558057,0.22201319743819062,0.19950604,0.022507153050373235,0.09397034425549566,0.0
High,0.48543170928159685,0.4639,0.021531709424647993,0.2233282406646595,0.20045751,0.022870727332292562,0.07874498824830645,1.57566599913e-312
Low,0.4971868458390126,0.4506363,0.0465505483746419,0.22368116304478677,0.20003091,0.023650255056238495,0.12004873496474494,0.0
Close,0.49702826320559634,0.4545811,0.04244715153605594,0.22207925870468956,0.19961663,0.022462632799652632,0.11355938061661824,0.0
Volume,0.15196662112620157,0.43603107,0.2840644522056313,0.07883622174010053,0.21118629,0.13235006804719196,0.6850891746163418,0.0
Returns,0.5088609312178523,0.4936724,0.015188530504885334,0.07428691452897108,0.21566941,0.14138249391161883,0.30119763583575276,0.0
Log_Returns,0.5315024572476968,0.49954784,0.03195461808296296,0.07393765276160114,0.21487164,0.14093399221215375,0.3257984238905019,0.0
Volume_Change,0.12757514254458324,0.33922824,0.2116531000911437,0.04564798676674084,0.20324552,0.157597533824995,0.6502747822480299,0.0
Price_Range,0.1299821578939228,0.40822875,0.2782465971033306,0.08525071933395423,0.22346984,0.13821911916606866,0.6450729296280935,0.0
Intraday_Return,0.5525610594105911,0.49506444,0.0574966220212173,0.06786375059733946,0.2183579,0.15049415514816683,0.3866652841144753,0.0
RSI_14,0.5552853446323394,0.5361294,0.01915592959709156,0.13744394269185756,0.20290208,0.06545813593668248,0.15949467717406332,0.0
MACD,0.4948090789353998,0.51677835,0.021969270941003982,0.12713592061738463,0.20132467,0.07418875088949708,0.20094532006083232,0.0
MACD_Signal,0.5182958679036638,0.5306532,0.012357310788200238,0.15160539997444478,0.20298205,0.05137665318622264,0.13987971795935294,0.0
MACD_Diff,0.48985162505373664,0.49214223,0.002290605218556452,0.11032056280692926,0.20403929,0.09371872774044165,0.2010662933775751,0.0
Stoch_K,0.5164121958400696,0.5218349,0.0054227140758544845,0.32089053246110516,0.2269466,0.09394392522901135,0.15322998755703027,0.0
Stoch_D,0.5178718144537371,0.5257444,0.007872564113004854,0.30036131417310585,0.22627865,0.07408266639268746,0.13479019770496337,0.0
ROC_10,0.3987844821780999,0.46438724,0.06560275584756536,0.0909579425311685,0.2049832,0.11402526207202669,0.34471346605834374,0.0
Williams_R,0.5171985223988972,0.52504843,0.007849912335447295,0.320849349107582,0.22694372,0.0939056327007598,0.15648762615788744,0.0
SMA_5,0.7247222599924709,0.5631198,0.16160243129145158,0.12437446146760565,0.19810016,0.07372570306505578,0.37216576800774226,0.0
SMA_10,0.7280279427710077,0.56166905,0.1663588911238214,0.12522270783366726,0.19768018,0.07245746747074558,0.38066846398451537,0.0
SMA_20,0.7401602754738799,0.5559205,0.18423979379205613,0.12939426467285076,0.19889754,0.06950327589645466,0.40790474215401634,0.0
SMA_50,0.7530840632189765,0.55301654,0.20006751983060977,0.14896440948846432,0.20007767,0.051113258343910256,0.42376088759850683,0.0
EMA_5,0.7266940961082887,0.56491387,0.16178022720417495,0.12456439856793235,0.19860461,0.07404021497462442,0.3730557859809207,0.0
EMA_10,0.7321902419609423,0.5625745,0.16961573615497305,0.1256530950912084,0.19817929,0.07252619460739237,0.3853691414350892,0.0
EMA_20,0.7424049148625292,0.56077784,0.1816270718640246,0.12924810690613936,0.19884117,0.06959306257036973,0.4032213466058343,0.0
ADX,0.39981220471970125,0.5104606,0.11064841043837981,0.1642186189792282,0.20804901,0.04383039523147278,0.2773313286326558,0.0
ADX_Pos,0.3988628528562785,0.48144346,0.08258061189973348,0.1277473167232511,0.207679,0.07993168675384546,0.2744366099820268,0.0
ADX_Neg,0.4443690323847771,0.4423982,0.0019708418864250454,0.13652065501670602,0.20582688,0.06930622353096244,0.16281280243329185,0.0
Ichimoku_A,0.7374430594215025,0.560163,0.17728003833385597,0.1311609715325735,0.19897905,0.06781807838846227,0.39483098299460806,0.0
Ichimoku_B,0.5133895170983225,0.43703133,0.07635818842019138,0.25916130836231904,0.19931379,0.05984751875622468,0.19457693902944828,0.0
BB_High,0.7244675619041641,0.5614805,0.16298703974840234,0.12376086423735841,0.1988444,0.07508353879112975,0.38841075625604865,0.0
BB_Low,0.7399790385453878,0.5478667,0.19211233646561487,0.13473424649955124,0.19884996,0.06411571466206223,0.41020323517212776,0.0
BB_Mid,0.7401602754738799,0.5602618,0.17989848948984055,0.12939426467285076,0.19817805,0.06878378822937092,0.3981491082538366,0.0
BB_Width,0.20226413456745493,0.43076357,0.2284994378869976,0.11325477223510065,0.20608574,0.09283096928482733,0.5647207244573482,0.0
BB_Pct,0.5023789805793744,0.5119824,0.009603400764467196,0.20733991790271375,0.21568935,0.008349428291553523,0.03928176413659612,5.119650620555515e-78
ATR_14,0.479421063108902,0.56447536,0.08505429442359924,0.13171120771803504,0.20173264,0.07002142778001183,0.2802087653808931,0.0
Keltner_High,0.49191922231030805,0.44275415,0.04916507287335736,0.24601848319708763,0.19958176,0.04643672600924431,0.14206587861191755,0.0
Keltner_Low,0.5002198102281357,0.43924767,0.060972142438676435,0.24520430736265747,0.19919536,0.04600895218573181,0.1589070924927416,0.0
Keltner_Mid,0.7408955877176571,0.55722094,0.18367465189612386,0.12948547389364673,0.19925186,0.069766386486526,0.4079220240564081,0.0
HV_20,0.3555337028471113,0.5379327,0.1823989911111712,0.14476621872443454,0.20338635,0.05862013274174435,0.4673026406746854,0.0
HV_50,0.4609158971649841,0.5339513,0.0730353853362366,0.1618384730006126,0.20189284,0.04005436488142933,0.2746699156643164,0.0
OBV,0.570411030923869,0.5144913,0.05591971126749695,0.25694435366410534,0.20215552,0.05478883811253826,0.23612263237937237,0.0
Volume_SMA_10,0.3199287271955853,0.5320732,0.21214447255340763,0.09837897314373475,0.20281252,0.10443354950603026,0.550428591179317,0.0
Volume_SMA_20,0.37779279251152775,0.5508183,0.17302553157752254,0.10597559198382345,0.20178206,0.09580647066590342,0.48041096363887736,0.0
Volume_ROC,0.1302295896874403,0.35336024,0.22313064600363025,0.07213969365657913,0.20990954,0.1377698497384633,0.5995264758744643,0.0
MFI,0.5371179315534563,0.51076645,0.026351484963032745,0.16961261600570485,0.21543933,0.04582671850605205,0.11613438407299875,0.0
CMF,0.4912200118751019,0.46733662,0.023883387014338342,0.14997987145207506,0.21215619,0.06217632001616377,0.15622839762201027,0.0
Returns_Lag_1,0.5088619785518945,0.4992374,0.009624590179473258,0.0742787933941371,0.2226252,0.14834640258593493,0.3015432738835891,0.0
Close_Lag_1,0.7198892891575782,0.5609653,0.15892398955125497,0.12369563627265871,0.19815475,0.07445911121345579,0.36802675238490246,0.0
Volume_Lag_1,0.1883733329142166,0.42326307,0.2348897400533127,0.07543138924314736,0.21244761,0.13701622423455956,0.6153739803677589,0.0
Returns_Lag_5,0.508867322693483,0.49075687,0.01811045337738193,0.07423749783650102,0.2253412,0.15110370299205123,0.3140380893128716,0.0
Close_Lag_5,0.7200198098444689,0.5559893,0.1640304847979296,0.1238604754547296,0.19863151,0.07477103468378206,0.37705654638462605,0.0
Volume_Lag_5,0.18814317048451754,0.42012256,0.2319793933544412,0.07537316807978077,0.2123465,0.13697332611806468,0.6112695285497027,0.0
Returns_Lag_10,0.5088925276216002,0.4919033,0.01698922256788926,0.07415015382233318,0.2239761,0.14982595162925066,0.31145444490529517,0.0
