Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.35164516411110097,0.47005075,0.11840558805183238,0.25247169009586423,0.19687958,0.05559210947891324,0.3297274017024726,0.0
High,0.3507824085395392,0.4722926,0.12151019352268616,0.2540121318092851,0.19795963,0.05605250012784285,0.3334937846236995,0.0
Low,0.3498982518976544,0.47477037,0.12487211524788394,0.2519956012045991,0.1966711,0.05532450273391121,0.3363565734360222,0.0
Close,0.34847680980605217,0.4731791,0.12470229213791756,0.252252526271282,0.19719096,0.055061570990024344,0.33686326172138903,0.0
Volume,0.24676592591292237,0.4781646,0.23139868733399535,0.15028538315098527,0.2084813,0.058195913745949235,0.46959870287798944,0.0
Returns,0.571678280020834,0.5084489,0.06322938122856714,0.062234613261924934,0.21154356,0.14930894676615125,0.40138157005810027,0.0
Log_Returns,0.5979671909173474,0.5206456,0.0773215724786267,0.06125810581596144,0.21018738,0.14892926972954026,0.4195463450885016,0.0
Volume_Change,0.26033729391869387,0.3862792,0.12594190162841,0.06975944872691256,0.21194161,0.14218216602013486,0.4794622348331306,0.0
Price_Range,0.14015158960143173,0.42859408,0.28844249299248614,0.12507474447495848,0.22405045,0.09897570286982149,0.5846253884610187,0.0
Intraday_Return,0.4859372002100378,0.4733939,0.012543312928619932,0.07665017879508522,0.22076513,0.14411494993664237,0.2959397378732604,0.0
RSI_14,0.667473513273081,0.52871037,0.13876314797767086,0.1389771698616956,0.20063773,0.06166055811414975,0.3209025807323335,0.0
MACD,0.6541153908486129,0.5269902,0.12712521560142054,0.1446009057971731,0.20254822,0.05794731495649663,0.3663440751249831,0.0
MACD_Signal,0.6402291799580266,0.5234185,0.11681069383970999,0.1558119807501148,0.20235947,0.04654748699471248,0.34203148223213087,0.0
MACD_Diff,0.5252904244948094,0.49549964,0.029790783791608155,0.12709686306514942,0.20672387,0.07962700578174389,0.24743277935414135,0.0
Stoch_K,0.6427779675212316,0.5039397,0.13883827931551262,0.3113784415494773,0.22733821,0.08404023180120918,0.32435650587758413,0.0
Stoch_D,0.6428009105644464,0.5072342,0.13556669482805728,0.2894577293159421,0.22488089,0.064576840257829,0.32204262937440886,0.0
ROC_10,0.6031498488106299,0.5134668,0.08968307339330206,0.09832292603457689,0.2063867,0.10806377423798323,0.3478752871233617,0.0
Williams_R,0.6435464447540379,0.5081841,0.1353623693985081,0.31102491872798727,0.22657341,0.08445151107799337,0.3218146196459938,0.0
SMA_5,0.48917951811437316,0.52290565,0.03372612964029603,0.19995645408240123,0.19670585,0.0032506061038093115,0.176319078502905,0.0
SMA_10,0.4918935321447802,0.52450436,0.03261083139205451,0.20103310827573334,0.19660418,0.004428930919967045,0.17701999729766243,0.0
SMA_20,0.4934071444508277,0.5259092,0.032502040958718226,0.2019564179850273,0.19659013,0.005366292424266811,0.17958721794352117,0.0
SMA_50,0.5016074323609588,0.5300429,0.02843545437304995,0.20928173153276125,0.19694643,0.012335304306694661,0.16876942305093912,0.0
EMA_5,0.4895506272843794,0.52478534,0.03523471254792648,0.2000670138187844,0.1968177,0.00324931772427145,0.17995034454803405,0.0
