Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.33935673445813375,0.49649864,0.15714190989382548,0.28278881491124336,0.198879,0.08390981138646308,0.37852992838805566,0.0
High,0.3417095288857891,0.49682295,0.15511342433839304,0.2845925987680981,0.19892025,0.08567234882913327,0.37643561680853943,0.0
Low,0.33760494781189254,0.48773158,0.1501266281539888,0.28151492036853215,0.19904158,0.082473345175127,0.3707522632076746,0.0
Close,0.33925904504609655,0.49052334,0.15126429327177454,0.2822958958426116,0.19890575,0.08339014473348838,0.3711322794216998,0.0
Volume,0.13378817318804503,0.42001477,0.2862265956508374,0.08115975130793343,0.21270773,0.13154797683957328,0.6876773408998784,0.0
Returns,0.5129174948046118,0.48553,0.027387505800476664,0.05898356606916465,0.211289,0.152305437422237,0.36150520199972974,0.0
Log_Returns,0.5487227007004449,0.50093,0.04779268942801451,0.058369344917206994,0.21094297,0.15257362380895115,0.39058910957978654,0.0
Volume_Change,0.13176546734773154,0.33836016,0.2065946932414866,0.060851380516866144,0.2077723,0.1469209191304651,0.5955022969868937,0.0
Price_Range,0.1363617421226515,0.43253475,0.2961730121536241,0.12816295634662914,0.22376372,0.09560076285445882,0.5810532360491826,0.0
Intraday_Return,0.4255328152190734,0.45751604,0.03198322915920726,0.09360802786930754,0.22838151,0.13477348667994782,0.29229158221861906,0.0
RSI_14,0.6242970018750276,0.50580657,0.11849043659029856,0.12363340366382572,0.20268506,0.07905165445308712,0.3377330766112687,0.0
MACD,0.5507633857613619,0.5335679,0.017195480335336466,0.1372999090142515,0.20278813,0.0654882204346392,0.23539048777192273,0.0
MACD_Signal,0.5181664824864727,0.53564364,0.01747715469385569,0.14600204916421067,0.20384468,0.05784263221796859,0.19040501283610323,0.0
MACD_Diff,0.584069079507724,0.5132946,0.07077450190915224,0.13350369105091342,0.20820613,0.0747024410034155,0.3231235643831915,0.0
Stoch_K,0.6166002204493988,0.5045921,0.11200809980196835,0.2894455500914996,0.22853659,0.06090895915769984,0.25380016214025136,0.0
Stoch_D,0.6243387158703438,0.51672226,0.10761645396467368,0.268893606805178,0.22643247,0.0424611343377555,0.23593095527631402,0.0
ROC_10,0.5261282154041022,0.4994727,0.026655507894107644,0.10402025385302395,0.20976362,0.10574336247044712,0.2439366301851101,0.0
Williams_R,0.6173686976822051,0.5086155,0.10875320390779109,0.2891347898143742,0.22764212,0.06149267088355753,0.2502533441426835,0.0
SMA_5,0.39069823867900005,0.5097751,0.11907686345951923,0.2628697019008571,0.19822478,0.06464491895713154,0.32565700581002566,0.0
SMA_10,0.3933922277771907,0.50785834,0.11446610819464159,0.264866560465307,0.19889982,0.06596674001833891,0.32275199297392243,0.0
SMA_20,0.3962441679335828,0.5150372,0.1187930110596423,0.2672810459884472,0.19862542,0.06865563042486383,0.32920382380759355,0.0
SMA_50,0.40393018955049587,0.5196145,0.11568432813825535,0.27486944362762006,0.1988246,0.07604484424235852,0.3337302391568707,0.0
EMA_5,0.3916453090109637,0.5173075,0.125662210901756,0.26347366789726406,0.19938838,0.0640852830782333,0.33000608025942446,0.0
EMA_10,0.3940059993817708,0.50824237,0.11423636931634934,0.265215102622295,0.1988272,0.06638789553382451,0.32287022024050804,0.0
EMA_20,0.39817298768689935,0.51362073,0.11544774652788337,0.2684584219244078,0.19871622,0.0697421986845091,0.3271010674233212,0.0
ADX,0.44436616720205135,0.51670396,0.07233779607767277,0.17830288828156013,0.20897898,0.030676092498087698,0.2060954600729631,0.0
ADX_Pos,0.43958884990350544,0.48414284,0.04455399000509441,0.12425335662453944,0.20851591,0.08426255566984837,0.2174452776651804,0.0
ADX_Neg,0.4113310385861397,0.49622494,0.08489390123701096,0.13418535383075636,0.21038362,0.07619827000766832,0.26134137278746117,0.0
Ichimoku_A,0.39789241479372645,0.513797,0.1159045703556571,0.2685094904408695,0.19884405,0.06966544504025002,0.3264592622618565,0.0
Ichimoku_B,0.35179657722629093,0.50421077,0.15241419290386654,0.29979748797463807,0.19906843,0.1007290608887616,0.3827523307661127,0.0
BB_High,0.3965367198541501,0.5176479,0.12111120218488186,0.2672900361575984,0.19894594,0.06834409661673535,0.3374966220780976,0.0
BB_Low,0.3881602386238366,0.50823826,0.12007801735379403,0.2624179545533571,0.19915111,0.06326684092401597,0.3264423726523443,0.0
BB_Mid,0.3962441679335828,0.5133037,0.11705952917563961,0.2672810459884472,0.19907376,0.06820728428686335,0.32687305769490604,0.0
BB_Width,0.2879519467731027,0.51212376,0.22417181678814607,0.14721973094802074,0.21335931,0.06613958027500935,0.49355661397108497,0.0
BB_Pct,0.5527349082708941,0.48797935,0.06475555579668146,0.17025923368374135,0.21331066,0.04305142524799083,0.176614646669369,0.0
ATR_14,0.3607959285189512,0.585165,0.22436909528475973,0.2610328051175884,0.20335764,0.05767516818903007,0.4245710039183894,0.0
Keltner_High,0.34622019415687444,0.4990718,0.1528516125123608,0.291282152708047,0.19870031,0.09258184390830337,0.3813842723956222,0.0
Keltner_Low,0.34262866223496363,0.49465713,0.15202846681433752,0.2892707967441274,0.1987994,0.09047139522244468,0.37593737332792865,0.0
Keltner_Mid,0.39640411221976135,0.51034,0.11393586313729431,0.26740395996794303,0.19928256,0.06812140319571097,0.32449162275368193,0.0
