Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.35505410285815536,0.45932546,0.10427135972157181,0.22622533876267684,0.19909824,0.027127094453251482,0.2951012103505843,0.0
High,0.3534978786217806,0.46138424,0.10788635819081094,0.2288725182476586,0.19848847,0.0303840443554467,0.30497878408458545,0.0
Low,0.3583636261190435,0.4566162,0.09825256693706308,0.22506433349376434,0.19897982,0.026084508712346494,0.28218906510851416,0.0
Close,0.3599802862087951,0.46380392,0.10382363096077585,0.22614998733534897,0.19932957,0.026820417399550323,0.2932665553700612,0.0
Volume,0.28492669245201446,0.4846098,0.1996831200460782,0.11822451114937642,0.21167378,0.09344927012637279,0.4670196855870896,0.0
Returns,0.549757201341385,0.50426775,0.045489449170822205,0.05762036422190587,0.21000235,0.15238198360505184,0.38855557874234836,0.0
Log_Returns,0.5775395306608149,0.51061416,0.06692537393779241,0.056861610275848726,0.20928282,0.15242120518054164,0.419744713411241,0.0
Volume_Change,0.37017015403843584,0.43579555,0.06562539153956709,0.0838536163252883,0.22258867,0.13873505690869758,0.34314134668892593,0.0
Price_Range,0.06741986869210762,0.34022424,0.2728043675578161,0.05014863825726769,0.20028032,0.15013168536734323,0.7460872287145242,0.0
Intraday_Return,0.5704204201443795,0.51522887,0.055191552613556794,0.04915319915113332,0.20896542,0.15981222157182812,0.43020485531441294,0.0
RSI_14,0.5754250923465613,0.5172881,0.0581370035480383,0.1290479908604556,0.20206583,0.07301783460188571,0.23968767390094603,0.0
MACD,0.6276556046064424,0.5343809,0.09327469182568071,0.11534828099171435,0.20175636,0.08640807715495313,0.33335941847523654,0.0
MACD_Signal,0.6020561931337366,0.52596354,0.07609264828815554,0.12199722889047539,0.20152612,0.07952889141458595,0.2943360461880912,0.0
MACD_Diff,0.6500473822971595,0.5475304,0.10251696962320933,0.09403883322912714,0.20366232,0.10962348774236182,0.3914162493043962,0.0
Stoch_K,0.5958923953193791,0.5143798,0.08151259595338178,0.3027179303654116,0.22772951,0.07498841612419305,0.225271285475793,0.0
Stoch_D,0.5994280747138782,0.51805294,0.0813751391135974,0.28096959672166016,0.22798541,0.05298418483925965,0.20860287979966619,0.0
ROC_10,0.525436321861504,0.4921145,0.033321807749031485,0.08906032556395221,0.20668167,0.11762134319444012,0.2893363939899833,0.0
Williams_R,0.5966836446237752,0.52369106,0.0729925864649007,0.302466146381822,0.22724923,0.07521691146704235,0.21537632164718978,0.0
SMA_5,0.5946692905760437,0.55234283,0.042326458487573215,0.14786793372396165,0.19696021,0.04909227707620925,0.22042814412910405,0.0
SMA_10,0.5995132582522393,0.5511993,0.048313941273784744,0.14909024145189215,0.19810218,0.04901193473753046,0.229218836950473,0.0
SMA_20,0.60938757851822,0.5518698,0.05751776889068705,0.15241193198356842,0.19812952,0.045717587836644896,0.24349610461880916,0.0
SMA_50,0.6180692948951766,0.5487932,0.06927609821701497,0.16377845281779455,0.19870524,0.03492678826630427,0.2613296466332777,0.0
EMA_5,0.5955931875004192,0.5498513,0.045741889168204874,0.14802270553376676,0.19779602,0.049773311397767056,0.22623643572621036,0.0
EMA_10,0.6021518318768577,0.5476448,0.054507037889583554,0.1496077397502798,0.19714785,0.04754010647164403,0.23682700333889817,0.0
EMA_20,0.6090440406958822,0.5511847,0.05785932685539763,0.15210152695866616,0.19809525,0.04599372019080131,0.24431343906510852,0.0
ADX,0.3240612385348913,0.49594837,0.1718871357365015,0.14894902404751037,0.2051904,0.05624138120208527,0.41647537562604336,0.0
ADX_Pos,0.49385442454941253,0.48535421,0.008500209642720025,0.14666670250300742,0.20801628,0.06134957385655068,0.15437186978297163,0.0
ADX_Neg,0.4413067039383326,0.4582799,0.016973203765067058,0.13685769644438972,0.20616059,0.06930289360821495,0.1550848636616583,0.0
Ichimoku_A,0.6014931977382573,0.5419672,0.05952598458441816,0.15206499566495224,0.19856338,0.046498386364581146,0.24800883416805788,0.0
Ichimoku_B,0.35163160218161976,0.45810613,0.10647452817993724,0.2465924671948944,0.19827086,0.048321609860757425,0.3232122982749026,0.0
BB_High,0.580496136821769,0.5494174,0.031078760303519526,0.14626051767108678,0.19829667,0.05203614847423793,0.22717550083472454,0.0
BB_Low,0.6101501707018274,0.5376712,0.07247896232017459,0.15273144752417317,0.19900464,0.046273187690632434,0.2464176405119644,0.0
BB_Mid,0.60938757851822,0.5507198,0.058667780906983436,0.15241193198356842,0.19843368,0.046021750338933715,0.2442177935447969,0.0
BB_Width,0.17594095568360135,0.43940598,0.2634650220423813,0.1064926705775096,0.20583728,0.09934460898067217,0.6246174179187535,0.0
BB_Pct,0.5194518624174325,0.49155083,0.0279010294306008,0.17845821537853146,0.21286713,0.03440891049026584,0.09862792153589317,0.0
ATR_14,0.26651865434484245,0.48270616,0.21618750500841377,0.11546940510081014,0.2000922,0.08462279136372844,0.5505877851975515,0.0
Keltner_High,0.36020429346210897,0.4717888,0.11158450034015238,0.24735974398093424,0.19860007,0.048759675292541604,0.32905537006121316,0.0
Keltner_Low,0.3678095632501362,0.46315414,0.0953445738844158,0.24337879174329483,0.19834656,0.04503223651029312,0.2902232888146911,0.0
Keltner_Mid,0.6091056702841694,0.54765767,0.061448001693623744,0.15235234521188065,0.197572,0.045219647662264856,0.2480088341680579,0.0
HV_20,0.273884152674165,0.53509617,0.2612120158439014,0.1324027079078263,0.20307793,0.07067521932396234,0.6292953533667224,0.0
HV_50,0.3982474041595681,0.5623966,0.1641491817817466,0.16408079982036286,0.20049286,0.03641205906635589,0.4310395798553144,0.0
OBV,0.5821443100588327,0.50723726,0.07490705448556001,0.20109904868686673,0.20066056,0.0004384921320724211,0.21059404563160827,0.0
Volume_SMA_10,0.384974132688063,0.54160523,0.15663110145805514,0.1403052010626351,0.20187287,0.061567669263407065,0.36226175570395097,0.0
Volume_SMA_20,0.4419793671946578,0.56899554,0.12701616817902994,0.1564890810369981,0.2000583,0.04356921528582447,0.31756921257651644,0.0
Volume_ROC,0.30125398041871376,0.4171782,0.11592423317763023,0.09558891963168038,0.21783324,0.12224431622819053,0.3767824846967168,0.0
MFI,0.5424632170255228,0.50179017,0.04067305112433872,0.14346769002661328,0.21450202,0.07103433164372822,0.18909988870339453,0.0
CMF,0.5400333084397727,0.49385768,0.04617562668852149,0.16461884066980603,0.21699458,0.05237574293691394,0.16023233166388426,0.0
Returns_Lag_1,0.5497596340123736,0.5009383,0.0488213376943194,0.057621462534572516,0.2173226,0.15970114033350763,0.3954246661101836,0.0
Close_Lag_1,0.5864075040794356,0.54500175,0.041405758855436625,0.14595412026885393,0.19798942,0.05203529883381483,0.22206281302170283,0.0
Volume_Lag_1,0.2849505278621491,0.4885072,0.20355668334619442,0.11824898952799871,0.21515313,0.09690413838070795,0.4726106010016695,0.0
Returns_Lag_5,0.5497695033999349,0.50785404,0.041915458962526464,0.05762485143234302,0.21841203,0.16078717533061931,0.38191256260434053,0.0
Close_Lag_5,0.5855256684505318,0.5395681,0.04595754224890214,0.14559859430426197,0.19780302,0.05220442617303295,0.22994922092376183,0.0
Volume_Lag_5,0.28500741211286224,0.47797439,0.19296697291025483,0.11835536586461372,0.2170606,0.098705229886195,0.4551857262103505,0.0
Returns_Lag_10,0.549786379789597,0.5092157,0.040570667242294745,0.057625556079720426,0.21735956,0.15973400166812046,0.3795388146911519,0.0
Close_Lag_10,0.5843355118370668,0.5393545,0.04498100868231214,0.1453604784704205,0.1983677,0.05300722151031528,0.23138390372843626,0.0
Volume_Lag_10,0.28501254231845047,0.46863958,0.18362704007710312,0.11855425239661037,0.21593568,0.0973814248933524,0.4396650667779633,0.0
Returns_Lag_20,0.5497990847501121,0.50132436,0.04847472914784767,0.057592296323675234,0.2168787,0.15928640095244018,0.39304222314969395,0.0
Close_Lag_20,0.5816728997028697,0.5354805,0.0461924004352916,0.14558381520222527,0.19850321,0.05291939593840736,0.2354966611018364,0.0
Volume_Lag_20,0.2847207360203047,0.463947,0.17922626209904957,0.11909392051490422,0.2187953,0.09970137901512507,0.4282136894824708,0.0
Returns_Mean_5,0.5407783228319712,0.50562155,0.035156770364625056,0.08009077547379238,0.20891526,0.12882448794059054,0.3203081524763495,0.0
