Feature,Real_Mean,Synthetic_Mean,Mean_Diff,Real_Std,Synthetic_Std,Std_Diff,KS_Stat,KS_PValue
Open,0.22408191621814227,0.48580766,0.261725741023679,0.23915091702709515,0.19871084,0.04044007310638745,0.5290754627753006,0.0
High,0.2220193243468603,0.4922166,0.27019726271979005,0.2384514989991854,0.19884382,0.039607677115983814,0.5321915957303067,0.0
Low,0.2274944351344148,0.4839701,0.25647567051362596,0.24287463008682214,0.19847621,0.04439841985027276,0.5282816511282259,0.0
Close,0.22200773792646084,0.48476884,0.26276109976389256,0.23702634830968633,0.19917105,0.037855296926667836,0.5287292257802999,0.0
Volume,0.11319127210680481,0.42683646,0.31364518872197633,0.08246727983599487,0.2095994,0.12713212569111998,0.7267092284826374,0.0
Returns,0.4945776840109467,0.48628584,0.008291848506414845,0.08378548391115716,0.21624613,0.13246064417111825,0.28820429671665987,0.0
Log_Returns,0.5470875529707416,0.506934,0.04015356583008611,0.08262655953904224,0.21553457,0.13290800829390453,0.3338062423996757,0.0
Volume_Change,0.1280239333610112,0.34168077,0.21365683179096634,0.0730660124386146,0.212974,0.13990798455826498,0.5881553168490744,0.0
Price_Range,0.08180611392183329,0.37848887,0.29668275455312704,0.1015316723624424,0.20974748,0.10821580600345573,0.6431732198351574,0.0
Intraday_Return,0.44978691425621536,0.46996233,0.020175414416193693,0.09944586190014203,0.22894584,0.12949997452468553,0.2604546682880692,0.0
RSI_14,0.5584096160096853,0.5368022,0.02160744334885767,0.1435961111053156,0.20161602,0.058019907905228235,0.15577286853127956,0.0
MACD,0.39576944548450477,0.495572,0.09980255525745385,0.10619652079423851,0.20106052,0.09486399782815987,0.4137869882448318,0.0
MACD_Signal,0.40297520462287884,0.5113468,0.10837161239372273,0.11408861485059948,0.20188524,0.08779662343923358,0.4202388190785029,0.0
MACD_Diff,0.42884062734019174,0.45180467,0.022964040371066197,0.12042444660109577,0.20640512,0.08598067150669994,0.26889947304418327,0.0
Stoch_K,0.5419258718050937,0.50964385,0.032282019094369785,0.30834076027016066,0.2237714,0.08456936697105788,0.17010370220240512,0.0
Stoch_D,0.5468139360598743,0.51386297,0.03295096856872437,0.2919734288683665,0.22242457,0.06954886212260847,0.16168423186055936,0.0
ROC_10,0.4571735432650319,0.4913704,0.03419686646206466,0.10402044373679452,0.20595169,0.1019312469370336,0.273544115660046,0.0
Williams_R,0.5425415757619705,0.51377404,0.028767538400825465,0.3083382657630659,0.22265562,0.08568264161183603,0.16879475746520733,0.0
SMA_5,0.2520955789411114,0.50502264,0.25292706605553167,0.24644126199607896,0.1982443,0.04819695853118944,0.5257650993109039,0.0
SMA_10,0.2545185705935557,0.5041478,0.24962925703171895,0.24877948517661627,0.19893788,0.049841607163959106,0.5271838265099311,0.0
