Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5219489739279686,0.557,0.035179932322031426,0.0724535328425603,0.0435,0.0289659840144353
Log_Returns,0.5524057915225691,0.5913,0.03890280222743092,0.07177340586237921,inf,inf
Volume_Change,0.19100625330741317,0.3499,0.15884726231758683,0.07677614975519088,0.1125,0.035711643213559116
MACD,0.45959351776005153,0.375,0.08459351776005153,0.13386993005078238,0.03506,0.09880523278515738
MACD_Signal,0.44779421348168563,0.3599,0.08793093223168563,0.13894230305274816,0.04813,0.09081608234962316
SMA_20,0.3164083400362968,0.06052,0.2558919826144218,0.2797783687057647,0.1055,0.17424858354951472
EMA_20,0.315681942128109,0.05566,0.260017879628109,0.2805369316926442,0.0971,0.1834299980988942
ADX,0.28707345429677805,0.2114,0.07564767304677805,0.17308178061897603,0.02089,0.15219249839241353
BB_Width,0.25637005718418815,0.1284,0.12795208843418815,0.16677385497508948,0.02588,0.14089494872508948
Returns_Lag_1,0.5219468228709777,0.5415,0.01955708337902229,0.07245660878847661,0.0306,0.04186273671816411
Returns_Lag_5,0.5219369403491917,0.5386,0.01663727840080831,0.07246769265558657,0.06183,0.010639079374336571
