Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5027901482515221,0.4836,0.01914757012652213,0.07306859433404425,0.01755,0.05552098691216925
Log_Returns,0.5373552131920852,0.529,0.008546619442085235,0.07242132531954111,0.01467,0.05774999963594736
Volume_Change,0.11366013431557301,0.0913,0.022351540565573008,0.05912825303897172,0.01443,0.04470106798037797
MACD,0.6235295164248408,0.6416,0.01807204607515922,0.11326581620568497,inf,inf
MACD_Signal,0.62396412553592,0.6426,0.018613999464080044,0.1218073954675874,inf,inf
SMA_20,0.40378444885265224,0.4028,0.0009524176026522446,0.25162369212322433,0.005672,0.24595123728923995
EMA_20,0.40812050234992675,0.3992,0.00895058047492675,0.25418108662904193,0.0074,0.24678057393372943
ADX,0.35451043682743155,0.3984,0.04392706317256845,0.1737863635011623,0.0233,0.1504861926027248
BB_Width,0.21263149185311817,0.1421,0.07054164810311817,0.14020459156709675,0.008766,0.1314384172506905
Returns_Lag_1,0.5027892477491775,0.4937,0.009136903999177548,0.07307420974478374,0.01814,0.054931509549471236
Returns_Lag_5,0.5027813542048696,0.509,0.006007708295130421,0.07308315353458984,0.02441,0.04866909103458984
