Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.533889507418809,0.534,0.0002901800811909716,0.045727881654502096,0.0146,0.031125220521689596
Log_Returns,0.5640088687245421,0.575,0.011186443775457855,0.04532916102514331,inf,inf
Volume_Change,0.22071657283725402,0.2407,0.020006083412745984,0.0778234293056267,0.0592,0.018619327743126704
MACD,0.7502645779999092,0.6035,0.1467489529999092,0.09271264086839011,inf,inf
MACD_Signal,0.7544161346714623,0.5947,0.1596895721714623,0.10343557411398953,inf,inf
SMA_20,0.41104616739190025,0.3425,0.06851687051690025,0.24903958058313222,0.01201,0.23703091359094472
EMA_20,0.40963174351751724,0.339,0.07052041539251724,0.2502620371984204,0.013115,0.23714710799920163
ADX,0.2537970923294988,0.1802,0.07362131107949882,0.16075503188335197,0.01878,0.14197146254741447
BB_Width,0.1032507436640465,0.1505,0.047261951648453496,0.09571336172715447,0.02513,0.07058213614121697
Returns_Lag_1,0.5338898890791771,0.5254,0.008499264079177116,0.045726871944287116,0.02357,0.022152042842724616
Returns_Lag_5,0.5338901206076432,0.5254,0.008499495607643182,0.045723207592134246,0.012436,0.033287294506196746
