Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5462905957223381,0.5513,0.004978935527661932,0.049906711704782725,0.0336,0.016306858189157725
Log_Returns,0.5708544586973822,0.5728,0.001899447552617839,0.049478537414715744,inf,inf
Volume_Change,0.011062248879944423,0.0217,0.010635749166930577,0.020361026754189583,0.003798,0.016563495626259896
MACD,0.8035341788507643,0.8403,0.03679785239923572,0.09485055785736185,inf,inf
MACD_Signal,0.802907314037038,0.8286,0.025705967212962033,0.09992545144428715,inf,inf
SMA_20,0.5847016502838313,0.6626,0.07789600596616875,0.20434249331641288,inf,inf
EMA_20,0.5561761768319441,0.639,0.08298397941805591,0.22477061038767407,inf,inf
ADX,0.2322164017421725,0.156,0.0762105423671725,0.1462629535725658,0.01506,0.1312025287678783
BB_Width,0.08954508697175771,0.03967,0.04987223540925771,0.0882548083000429,0.00898,0.07927501093676165
Returns_Lag_1,0.5462803176366037,0.5522,0.005965776113396326,0.0499135086389399,0.03079,0.019121272310814903
Returns_Lag_5,0.5462993389002726,0.5522,0.005946754849727398,0.049924395522545,0.01929,0.030637286147544997
