Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.42041907484206237,0.448,0.027578972032937632,0.06442344599122429,0.0711,0.006682511040025707
Log_Returns,0.4536414474236604,0.4915,0.037813630701339584,0.06539557367168038,0.0664,0.0010106763283196235
Volume_Change,0.19116561070676166,0.2454,0.05419571741823834,0.09961935490912728,0.1605,0.06090310602837272
MACD,0.49975498034625965,0.6646,0.16479580090374035,0.14036794688700766,inf,inf
MACD_Signal,0.5022741591277614,0.671,0.1686242783722386,0.14799314841898437,inf,inf
SMA_20,0.347145830478576,0.6157,0.268576825771424,0.2623095681385613,inf,inf
EMA_20,0.3448481790945744,0.592,0.24694869590542562,0.2605420010293536,inf,inf
ADX,0.30597826991155036,0.4204,0.11443188633844964,0.1876037382593192,0.04007,0.1475341581811942
BB_Width,0.2087269253680072,0.1704,0.03831676911800719,0.14377814568582695,0.02458,0.11919623650613945
Returns_Lag_1,0.42041497421106583,0.4302,0.009760807038934172,0.06441287308905656,0.05768,0.006734650432806563
Returns_Lag_5,0.4203973732141685,0.4426,0.02222957991083152,0.06437041286790057,0.0381,0.026284475367900573
