Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.563168747332123,0.64906484,0.08589609155413802,0.05276066271496751,0.02835777,0.024402892421016474
Log_Returns,0.5893149661411929,0.67492974,0.08561477190354583,0.052053914864997344,0.023337927,0.028715988149384933
Volume_Change,0.34822649800241273,0.3707071,0.02248059666692931,0.06382560428614212,0.05080913,0.013016474213548429
MACD,0.7524834333937942,0.84229434,0.08981090197150121,0.11216600509479352,0.039781883,0.07238412173583814
MACD_Signal,0.7471319775021913,0.8164048,0.0692728419863341,0.12271567829786058,0.03482562,0.08789005898771997
SMA_20,0.3540372912562143,0.4118799,0.05784260586140044,0.2544264432772874,0.0797327,0.174693742094922
EMA_20,0.3531041871158956,0.4096885,0.05658431543422954,0.25496730160870296,0.07634385,0.17862345230736476
ADX,0.2974953055356022,0.17354755,0.12394775449972117,0.18235553807769853,0.023590907,0.15876463062320786
BB_Width,0.12071435185653995,0.057340346,0.06337400557977985,0.10215667397192518,0.008714242,0.09344243206492464
Returns_Lag_1,0.5631988067223811,0.6299792,0.06678038648822071,0.052760687012634,0.025655208,0.02710547885712119
Returns_Lag_5,0.5631625253927144,0.48848563,0.07467689106577957,0.052756022296668204,0.032109935,0.02064608746004215
