Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5087436998695487,0.507,0.0019077623695487045,0.07457849022618393,0.01181,0.06276818749180893
Log_Returns,0.5313817315435713,0.526,0.005502825293571267,0.07423005272229201,0.01573,0.05849824119885451
Volume_Change,0.12758994248820218,0.1886,0.061008690324297815,0.04580466840692289,0.0712,0.02542335893682711
MACD,0.4942131156366236,0.4705,0.023754131261623623,0.12744431625631333,0.01402,0.11342148910787583
MACD_Signal,0.5177645635326841,0.4866,0.031192297907684075,0.15223863863907264,0.02605,0.12619188570938514
SMA_20,0.4952270510475845,0.487,0.008166504172584521,0.2470292732428466,0.0281,0.2189225837897216
EMA_20,0.4942373501220046,0.4722,0.022069381372004593,0.24932468128145585,0.02776,0.22156894397676835
ADX,0.304238189390671,0.3508,0.04659188873432901,0.18955172190538166,0.04184,0.14771212229600666
BB_Width,0.16759211424337986,0.0978,0.06981379393087986,0.11793668057275879,0.0087,0.10923917080713379
Returns_Lag_1,0.5087506868726155,0.5,0.008750686872615487,0.07457690206873009,0.02206,0.05251269308435509
Returns_Lag_5,0.5087818575209341,0.5063,0.0024342012709340777,0.0745623466316012,0.01514,0.0594256278816012
