Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5716511405601656,0.5713,0.00036207806016563815,0.0625101635759278,inf,inf
Log_Returns,0.5979369096100418,0.607,0.008996684139958244,0.06152961178111049,inf,inf
Volume_Change,0.26036751430709515,0.1965,0.06383431118209515,0.06990878833095596,0.02446,0.04544894946376846
MACD,0.6541969488409479,0.6733,0.019142894909052077,0.14554128250661313,inf,inf
MACD_Signal,0.640398475852024,0.6675,0.02708199289797597,0.15681625451787545,inf,inf
SMA_20,0.35080238633014543,0.513,0.16238120741985457,0.25885308961929404,0.02998,0.22886956911148154
EMA_20,0.352517527956754,0.515,0.162619190793246,0.26038604669716126,0.03084,0.22954803400184876
ADX,0.38510858926940705,0.2339,0.15122187051940705,0.1896845432278087,0.01104,0.17864480934108995
BB_Width,0.17704456744000388,0.0882,0.08884876665875388,0.11699114719735654,0.02243,0.09456072727548154
Returns_Lag_1,0.5716498848101573,0.58,0.008428240189842673,0.06250478067836304,inf,inf
Returns_Lag_5,0.5716428459073336,0.5874,0.015759497842666392,0.06248493133461113,inf,inf
