Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5129966400506263,0.5586,0.045597109949373715,0.0590045096159666,0.0452,0.0138079764128416
Log_Returns,0.5488007579788947,0.5903,0.041531273271105285,0.05838018173844094,inf,inf
Volume_Change,0.13174175373917515,0.2156,0.08383441813582485,0.06066208319019273,0.06616,0.005500026184807272
MACD,0.5515437137469937,0.5967,0.045135973753006264,0.1380568026159172,inf,inf
MACD_Signal,0.5190161457572898,0.523,0.003933072992710174,0.1468015491014423,0.007694,0.13910730471667668
SMA_20,0.3489434098569808,0.1578,0.1911064957944808,0.28934698104227907,0.0912,0.19816045760477907
EMA_20,0.35069213310427433,0.1583,0.19236693779177433,0.2907850328030582,0.0959,0.19489880233430817
ADX,0.37399127899189155,0.48,0.10598918975810845,0.2006854825835598,0.02203,0.1786517911773098
BB_Width,0.25578263187029865,0.1697,0.08610489749529865,0.1530560344019645,0.01122,0.14183319504649575
Returns_Lag_1,0.5129998120687874,0.5645,0.05145331293121258,0.0590108994884622,inf,inf
Returns_Lag_5,0.513004377187871,0.57,0.05681984156212905,0.05902776856538734,inf,inf
