Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.5496254884997042,0.5312,0.018375488499704162,0.05796127850739958,0.02742,0.03054123456208708
Log_Returns,0.5774054528406485,0.554,0.02320623409064848,0.05719899381532762,0.02557,0.03162526334657762
Volume_Change,0.370203875973528,0.3333,0.036951922848527996,0.08423558559274551,0.03128,0.05295506801462051
MACD,0.626927820141436,0.4326,0.194310632641436,0.11573537561216413,0.01965,0.09608205529966413
MACD_Signal,0.6014477341602011,0.374,0.22742429666020114,0.12238630626471073,0.02911,0.09327253673346073
SMA_20,0.36886966756293393,0.3704,0.0014916605620660661,0.24544771692125847,0.00929,0.23615511438219597
EMA_20,0.36670596572988384,0.3547,0.011969637604883843,0.2455599316421643,0.01135,0.2342073925796643
ADX,0.25397093888105504,0.1873,0.06671507950605504,0.16351741182807644,0.01255,0.1509670578241702
BB_Width,0.1505885740830365,0.1678,0.017258105604463503,0.1103499101194061,0.074,0.036375300744406106
Returns_Lag_1,0.5497052817305582,0.5312,0.018455281730558215,0.05777330387207689,0.02745,0.030322742348639388
Returns_Lag_5,0.5496298355960345,0.581,0.03142485190396549,0.057873546859158465,inf,inf
