Feature,Real_Mean,Synth_Mean,Mean_Diff,Real_Std,Synth_Std,Std_Diff
Returns,0.4946400444426809,0.5635,0.06883651805731911,0.08413096984087805,inf,inf
Log_Returns,0.5471368740823174,0.5957,0.04856625091768263,0.08296687470208064,inf,inf
Volume_Change,0.12796462832590494,0.127,0.0010115033259049389,0.07300372883425357,0.01997,0.05302997395144107
MACD,0.39594128674251916,0.499,0.10308215075748084,0.10690336893385306,0.02837,0.07853728006666556
MACD_Signal,0.4031669845591297,0.526,0.12271192169087031,0.11484724039277208,0.03008,0.08477216715058458
SMA_20,0.253816540956975,0.222,0.03177064251947498,0.2723009919550852,0.051,0.22130611890821023
EMA_20,0.2550186150215707,0.2175,0.037489318146570694,0.2734674171136879,0.05478,0.21868836437931288
ADX,0.2870127278180846,0.06885,0.21816507156808462,0.18368192336281108,0.03314,0.15053983351906108
BB_Width,0.21850263855113453,0.2952,0.07666337707386547,0.16342267136994187,0.0451,0.11831769090119187
Returns_Lag_1,0.49462797101874434,0.527,0.03222749773125566,0.08409948559241455,0.0384,0.04570837231116455
Returns_Lag_5,0.4945757692245656,0.506,0.011283605775434413,0.08397772804107027,0.04745,0.036522894056695274
